0.999925,-0.012281,0.991273,-1.012244
0.998794,-0.049104,0.982547,-1.048972
0.993895,-0.110328,0.973823,-1.110126
0.980704,-0.195498,0.965106,-1.195377
0.952791,-0.303627,0.956408,-1.303621
0.901413,-0.432961,0.947660,-1.431891
0.814271,-0.580485,0.938211,-1.572775
0.673170,-0.739488,0.924287,-1.707444
0.459654,-0.888098,0.888586,-1.791435
0.201574,-0.979473,0.796568,-1.783203
-0.042065,-0.999115,0.649712,-1.721226
-0.254340,-0.967115,0.473920,-1.652417
-0.434880,-0.900488,0.284506,-1.595099
-0.582687,-0.812697,0.087479,-1.554909
-0.696430,-0.717625,-0.116034,-1.531960
-0.776613,-0.629978,-0.326815,-1.523108
-0.826134,-0.563474,-0.545232,-1.523211
-0.848603,-0.529030,-0.769815,-1.525922
-0.845242,-0.534383,-0.996369,-1.522898
-0.811398,-0.584494,-1.214982,-1.499437
-0.736745,-0.676171,-1.397901,-1.426419
-0.629804,-0.776754,-1.493233,-1.281224
-0.525506,-0.850790,-1.493634,-1.101246
-0.436628,-0.899642,-1.436201,-0.928856
-0.358989,-0.933342,-1.347056,-0.779317
-0.286801,-0.957990,-1.240334,-0.656701
-0.215088,-0.976595,-1.124739,-0.561220
-0.139788,-0.990182,-1.006488,-0.491353
-0.057825,-0.998327,-0.890534,-0.444615
0.032583,-0.999469,-0.781043,-0.418080
0.131478,-0.991319,-0.681483,-0.409000
0.236784,-0.971562,-0.594400,-0.415566
0.344339,-0.938845,-0.520957,-0.437584
0.448521,-0.893772,-0.460347,-0.476689
0.543344,-0.839510,-0.409420,-0.535797
0.623615,-0.781731,-0.362871,-0.617888
0.685733,-0.727853,-0.314262,-0.724672
0.727833,-0.685754,-0.257595,-0.855850
0.749201,-0.662342,-0.188672,-1.009320
0.749082,-0.662478,-0.105420,-1.181925
0.725109,-0.688634,-0.007070,-1.369746
0.671334,-0.741155,0.107247,-1.566871
0.574845,-0.818263,0.239734,-1.760441
0.409529,-0.912297,0.392332,-1.912149
0.163652,-0.986518,0.537794,-1.913890
-0.063820,-0.997961,0.609486,-1.737325
-0.225350,-0.974278,0.619415,-1.509415
-0.342139,-0.939649,0.596797,-1.283741
-0.429010,-0.903300,0.556061,-1.075447
-0.494480,-0.869189,0.505310,-0.889710
-0.543781,-0.839227,0.450046,-0.728282
-0.580271,-0.814423,0.394525,-0.591328
-0.606089,-0.795397,0.342238,-0.478102
-0.622509,-0.782612,0.296047,-0.387323
-0.630197,-0.776435,0.258240,-0.317437
-0.629426,-0.777061,0.230600,-0.266810
-0.620267,-0.784391,0.214532,-0.233836
-0.602758,-0.797924,0.211195,-0.216994
-0.577064,-0.816699,0.221579,-0.214893
-0.543624,-0.839329,0.246499,-0.226380
-0.503267,-0.864131,0.286498,-0.250721
-0.457214,-0.889357,0.341651,-0.287847
-0.406901,-0.913472,0.411331,-0.338584
-0.353589,-0.935401,0.493991,-0.404734
-0.297872,-0.954606,0.587052,-0.488870
-0.239255,-0.970957,0.686927,-0.593881
-0.175929,-0.984403,0.789129,-0.722368
-0.104693,-0.994505,0.888268,-0.876064
-0.020794,-0.999784,0.977668,-1.055220
0.082645,-0.996579,1.048030,-1.257409
0.215891,-0.976417,1.083562,-1.473557
0.391021,-0.920382,1.051569,-1.671166
0.579926,-0.814669,0.910426,-1.758475
0.706666,-0.707547,0.704925,-1.707546
